instrument_name,tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,expiration_timestamp,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date,Date,Time
BTC-21FEB24-46000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294167,BTC,1,0.0001,46000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-46000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294168,BTC,1,0.0001,46000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-47000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294169,BTC,1,0.0001,47000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-47000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294170,BTC,1,0.0001,47000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-47500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294171,BTC,1,0.0001,47500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-47500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294172,BTC,1,0.0001,47500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-48000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294173,BTC,1,0.0001,48000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-48000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294174,BTC,1,0.0001,48000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-48500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294175,BTC,1,0.0001,48500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-48500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294176,BTC,1,0.0001,48500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
