instrument_name,tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,expiration_timestamp,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date,Date,Time
ETH-21FEB24-2400-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294101,ETH,1,0.0001,2400,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2400-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294102,ETH,1,0.0001,2400,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2450-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294103,ETH,1,0.0001,2450,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2450-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294104,ETH,1,0.0001,2450,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294105,ETH,1,0.0001,2500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294106,ETH,1,0.0001,2500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2550-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294107,ETH,1,0.0001,2550,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2550-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294108,ETH,1,0.0001,2550,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2600-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294109,ETH,1,0.0001,2600,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2600-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294110,ETH,1,0.0001,2600,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2650-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294111,ETH,1,0.0001,2650,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2650-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294112,ETH,1,0.0001,2650,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2675-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294113,ETH,1,0.0001,2675,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2675-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294114,ETH,1,0.0001,2675,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2700-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294115,ETH,1,0.0001,2700,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2700-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294116,ETH,1,0.0001,2700,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2725-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294117,ETH,1,0.0001,2725,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2725-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294118,ETH,1,0.0001,2725,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2750-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294119,ETH,1,0.0001,2750,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2750-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294120,ETH,1,0.0001,2750,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2775-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294121,ETH,1,0.0001,2775,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2775-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294122,ETH,1,0.0001,2775,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2800-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294123,ETH,1,0.0001,2800,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2800-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294124,ETH,1,0.0001,2800,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2825-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294125,ETH,1,0.0001,2825,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2825-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294126,ETH,1,0.0001,2825,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2850-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294127,ETH,1,0.0001,2850,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2850-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294128,ETH,1,0.0001,2850,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2875-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294129,ETH,1,0.0001,2875,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2875-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294130,ETH,1,0.0001,2875,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2900-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294131,ETH,1,0.0001,2900,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2900-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294132,ETH,1,0.0001,2900,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2925-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294133,ETH,1,0.0001,2925,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2925-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294134,ETH,1,0.0001,2925,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2950-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294135,ETH,1,0.0001,2950,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2950-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294136,ETH,1,0.0001,2950,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2975-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294137,ETH,1,0.0001,2975,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-2975-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294138,ETH,1,0.0001,2975,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294139,ETH,1,0.0001,3000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294140,ETH,1,0.0001,3000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3025-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294141,ETH,1,0.0001,3025,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3025-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294142,ETH,1,0.0001,3025,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3050-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294143,ETH,1,0.0001,3050,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3050-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294144,ETH,1,0.0001,3050,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3075-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70831E+12,294272,ETH,1,0.0001,3075,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 2:11,21/2/2024 8:00,,
ETH-21FEB24-3075-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70831E+12,294273,ETH,1,0.0001,3075,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 2:11,21/2/2024 8:00,,
ETH-21FEB24-3100-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294145,ETH,1,0.0001,3100,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3100-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294146,ETH,1,0.0001,3100,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3125-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70838E+12,294454,ETH,1,0.0001,3125,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 21:36,21/2/2024 8:00,,
ETH-21FEB24-3125-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70838E+12,294455,ETH,1,0.0001,3125,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 21:36,21/2/2024 8:00,,
ETH-21FEB24-3150-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294147,ETH,1,0.0001,3150,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3150-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294148,ETH,1,0.0001,3150,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3200-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294149,ETH,1,0.0001,3200,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3200-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294150,ETH,1,0.0001,3200,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294151,ETH,1,0.0001,3250,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294152,ETH,1,0.0001,3250,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3300-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294153,ETH,1,0.0001,3300,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3300-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294154,ETH,1,0.0001,3300,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3350-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294155,ETH,1,0.0001,3350,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3350-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294156,ETH,1,0.0001,3350,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3400-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70824E+12,294157,ETH,1,0.0001,3400,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3400-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70824E+12,294158,ETH,1,0.0001,3400,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 8:01,21/2/2024 8:00,,
ETH-21FEB24-3450-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70825E+12,294228,ETH,1,0.0001,3450,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 9:03,21/2/2024 8:00,,
ETH-21FEB24-3450-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70825E+12,294229,ETH,1,0.0001,3450,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,18/2/2024 9:03,21/2/2024 8:00,,
ETH-22FEB24-2500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70833E+12,294290,ETH,1,0.0001,2500,TRUE,1.70859E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 8:00,22/2/2024 8:00,,
ETH-22FEB24-2500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1.70833E+12,294291,ETH,1,0.0001,2500,TRUE,1.70859E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 8:00,22/2/2024 8:00,,
ETH-22FEB24-2550-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1.70833E+12,294292,ETH,1,0.0001,2550,TRUE,1.70859E+12,reversed,0.0003,0.0003,option,FALSE,eth_usd,19/2/2024 8:00,22/2/2024 8:00,,
