Date,best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strike,expiration_date,dte,spot,option_type,mid_price,mark_price_usd,mid_price_usd,time
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,66.16,0,0,0,0,0.148,0.0935,,0.11932191,BTC-26FEB24-45000-C,0.1203,51110.67,open,1.70878E+12,2.25603,-5.8707,0.32583,0,0.99706,0,0,,,,45000,26/2/2024 16:00,1,51094.53,call,0,6146.671959,0,55:53.5
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,60.5,0,0,0,0,0.1295,0.073,,0.09981719,BTC-26FEB24-46000-C,0.1008,51110.67,open,1.70878E+12,2.29762,-10.57662,0.64203,1.00E-05,0.99372,0,0,,,,46000,26/2/2024 16:00,1,51094.53,call,0,5150.328624,0,55:53.5
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,55.34,0,0,0,0,0.1195,0.063,,0.08999395,BTC-26FEB24-46500-C,0.0911,51110.67,open,1.70878E+12,2.32052,-10.85393,0.7203,1.00E-05,0.99285,0,0,,,,46500,26/2/2024 16:00,1,51094.53,call,0,4654.711683,0,55:53.5
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,55.32,0,0,0,0,0.111,0.053,,0.08029729,BTC-26FEB24-47000-C,0.0814,51110.67,open,1.70878E+12,2.32591,-20.36263,1.35162,2.00E-05,0.98528,0,0,,,,47000,26/2/2024 16:00,1,51094.53,call,0,4159.094742,0,55:53.5
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,49.58,0,0,0,0,0.101,0.043,,0.0706164,BTC-26FEB24-47500-C,0.0716,51110.67,open,1.70878E+12,2.34568,-20.44118,1.51416,2.00E-05,0.9832,0,0,,,,47500,26/2/2024 16:00,1,51094.53,call,0,3658.368348,0,55:53.5
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,49.29,0,0,0,0,0.0925,0.033,,0.06101294,BTC-26FEB24-48000-C,0.0621,51110.67,open,1.70878E+12,2.32831,-35.92155,2.67618,4.00E-05,0.96692,0,0,,,,48000,26/2/2024 16:00,1,51094.53,call,0,3172.970313,0,55:53.5
24/2/2024,0,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,43.71,0,0,0,0,0.0825,0.023,,0.05145412,BTC-26FEB24-48500-C,0.0524,51110.67,open,1.70878E+12,2.33165,-38.32925,3.22051,6.00E-05,0.95851,0,0,,,,48500,26/2/2024 16:00,1,51094.53,call,0,2677.353372,0,55:53.5
24/2/2024,0.2,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,38.7,0.0235,0,0,0.5,0.073,0.0135,0.0445,0.04200368,BTC-26FEB24-49000-C,0.0428,51110.67,open,1.70878E+12,2.31647,-43.75914,4.152,8.00E-05,0.94299,1137.31,0.5,0,0.0445,0.0445,49000,26/2/2024 16:00,1,51094.53,call,0.01175,2186.845884,600.3607275,55:53.5
24/2/2024,0.2,0,51110.67,0,0,SYN.BTC-26FEB24,51153.1596,35.12,0.014,0,0,0,0.0635,0.0055,,0.03288067,BTC-26FEB24-49500-C,0.0334,51110.67,open,1.70878E+12,2.25175,-57.06041,5.96638,0.00013,0.90846,0,0,,,,49500,26/2/2024 16:00,1,51094.53,call,0.007,1706.557302,357.66171,55:53.5
24/2/2024,61.9,0.2,51110.67,0,45.26,SYN.BTC-26FEB24,51153.1596,32.5,0.022,0.027,0,14.6,0.0545,0.0013,0.023,0.02425936,BTC-26FEB24-50000-C,0.0245,51110.67,open,1.70878E+12,2.10234,-77.65843,8.77372,0.00021,0.84149,32473.64,26.1,-13.2075,0.02,0.0295,50000,26/2/2024 16:00,1,51094.53,call,0.0245,1251.815985,1251.815985,55:53.5
24/2/2024,61.9,0.2,51110.67,16.04,40.93,SYN.BTC-26FEB24,51153.1596,30.19,0.0135,0.019,0,7,0.0455,0.0001,0.016,0.01659565,BTC-26FEB24-50500-C,0.0164,51110.67,open,1.70878E+12,1.83465,-98.75454,12.01083,0.0003,0.72933,7083.85,7.6,-25.5814,0.0145,0.0215,50500,26/2/2024 16:00,1,51094.53,call,0.01625,837.950292,830.2861125,55:53.5
24/2/2024,21.7,13.7,51110.67,28.01,33.37,SYN.BTC-26FEB24,51153.1596,30.25,0.0095,0.011,0,73.8,0.038,0.0001,0.009,0.01018615,BTC-26FEB24-51000-C,0.0101,51110.67,open,1.70878E+12,1.41446,-117.88929,14.31093,0.00036,0.55981,47613.67,80.8,-32.8358,0.0085,0.015,51000,26/2/2024 16:00,1,51094.53,call,0.01025,516.054753,523.7189325,55:53.5
24/2/2024,6.7,22.2,51110.67,27.94,31.65,SYN.BTC-26FEB24,51153.1596,29.56,0.005,0.006,0,22.1,0.031,0.0001,0.0049,0.00567345,BTC-26FEB24-51500-C,0.0054,51110.67,open,1.70878E+12,0.9576,-110.96902,13.78688,0.00035,0.37757,10077.18,22.5,-45.5556,0.0045,0.01,51500,26/2/2024 16:00,1,51094.53,call,0.0055,275.910462,281.019915,55:53.5
24/2/2024,13.6,9.7,51110.67,28.02,30.89,SYN.BTC-26FEB24,51153.1596,29.66,0.0023,0.0029,0,156.4,0.025,0.0001,0.0027,0.00291981,BTC-26FEB24-52000-C,0.0026,51110.67,open,1.70878E+12,0.56095,-86.90245,10.76019,0.00028,0.22063,32393.03,172.2,-61.4286,0.0021,0.007,52000,26/2/2024 16:00,1,51094.53,call,0.0026,132.845778,132.845778,55:53.5
24/2/2024,17.7,9,51110.67,28.81,32.39,SYN.BTC-26FEB24,51153.1596,30.73,0.001,0.0015,0,57.7,0.0205,0.0001,0.0013,0.00149695,BTC-26FEB24-52500-C,0.0013,51110.67,open,1.70878E+12,0.30225,-60.27851,7.20278,0.00018,0.11872,12122.91,64.1,-66.6667,0.0012,0.005,52500,26/2/2024 16:00,1,51094.53,call,0.00125,66.422889,63.8681625,55:53.5
24/2/2024,6.3,10.7,51110.67,30.95,35.29,SYN.BTC-26FEB24,51153.1596,33.15,0.0005,0.0009,0,162.5,0.017,0.0001,0.0008,0.0008304,BTC-26FEB24-53000-C,0.0007,51110.67,open,1.70878E+12,0.17127,-35.19932,4.72282,0.00011,0.06725,14559.89,133.2,-66.6667,0.0008,0.0031,53000,26/2/2024 16:00,1,51094.53,call,0.0007,35.766171,35.766171,55:53.5
24/2/2024,6,8.1,51110.67,35.75,38.68,SYN.BTC-26FEB24,51153.1596,37.23,0.0004,0.0006,0,22.2,0.0155,0.0001,0.0006,0.00059935,BTC-26FEB24-53500-C,0.0005,51110.67,open,1.70878E+12,0.11692,-25.33077,3.49611,7.00E-05,0.04593,153.63,5,-62.5,0.0005,0.0016,53500,26/2/2024 16:00,1,51094.53,call,0.0005,25.547265,25.547265,55:53.5
24/2/2024,7,12.7,51110.67,39.68,43.41,SYN.BTC-26FEB24,51153.1596,41.5,0.0003,0.0005,0,19.5,0.015,0.0001,0.0004,0.00047326,BTC-26FEB24-54000-C,0.0004,51110.67,open,1.70878E+12,0.08644,-19.95712,2.73625,5.00E-05,0.03398,52.56,2.5,-60,0.0003,0.001,54000,26/2/2024 16:00,1,51094.53,call,0.0004,20.437812,20.437812,55:53.5
