Date,best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strike,expiration_date,dte,spot,option_type,mid_price,mark_price_usd,mid_price_usd,time
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,78.67,0,0,0,0,0.183,0.1305,,0.156765,ETH-26FEB24-2500-C,0.1565,2961.41,open,1.71E+12,0.12593,-0.15971,0.00747,2.00E-05,0.99894,0,0,,,,2500,26/2/2024 16:00,1,2961.23,call,0,463.432495,0,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,74.39,0,0,0,0,0.167,0.113,,0.139922,ETH-26FEB24-2550-C,0.1396,2961.41,open,1.71E+12,0.12831,-0.27465,0.01359,4.00E-05,0.99796,0,0,,,,2550,26/2/2024 16:00,1,2961.23,call,0,413.387708,0,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,73.44,0,0,0,10,0.1515,0.096,0.1199,0.123141,ETH-26FEB24-2600-C,0.1228,2961.41,open,1.71E+12,0.13029,-0.67214,0.0337,0.0001,0.99439,3537.93,10,0,0.1199,0.1199,2600,26/2/2024 16:00,1,2961.23,call,0,363.639044,0,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,62.82,0,0,0,10,0.1345,0.0785,0.1026,0.106258,ETH-26FEB24-2650-C,0.1059,2961.41,open,1.71E+12,0.13279,-0.58403,0.03423,0.00012,0.99429,3027.45,10,0,0.1026,0.1026,2650,26/2/2024 16:00,1,2961.23,call,0,313.594257,0,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,53.54,0,0,0,0,0.1175,0.061,,0.089476,ETH-26FEB24-2700-C,0.089,2961.41,open,1.71E+12,0.13516,-0.57917,0.03983,0.00017,0.99323,0,0,,,,2700,26/2/2024 16:00,1,2961.23,call,0,263.54947,0,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,47.72,0,0,0,0,0.101,0.0435,,0.072707,ETH-26FEB24-2750-C,0.0722,2961.41,open,1.71E+12,0.13673,-0.91587,0.07067,0.00033,0.98695,0,0,,,,2750,26/2/2024 16:00,1,2961.23,call,0,213.800806,0,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,42.51,0,0,0,10,0.085,0.0265,0.0522,0.056159,ETH-26FEB24-2800-C,0.0556,2961.41,open,1.71E+12,0.13685,-1.60432,0.13896,0.00074,0.97107,1540.28,10,0,0.0522,0.0522,2800,26/2/2024 16:00,1,2961.23,call,0,164.644388,0,48:54.3
24/2/2024,10,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,39.33,0.0005,0,0,5,0.077,0.018,0.0405,0.048086,ETH-26FEB24-2825-C,0.0473,2961.41,open,1.71E+12,0.13616,-2.01045,0.18821,0.00108,0.95813,0,0,,,,2825,26/2/2024 16:00,1,2961.23,call,0.00025,140.066179,0.7403075,48:54.3
24/2/2024,3,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,36.96,0.0215,0,0,10,0.069,0.01,0.0366,0.040221,ETH-26FEB24-2850-C,0.0391,2961.41,open,1.71E+12,0.1337,-2.7249,0.27144,0.00166,0.93356,1079.97,10,0,0.0366,0.0366,2850,26/2/2024 16:00,1,2961.23,call,0.01075,115.784093,31.8332225,48:54.3
24/2/2024,3,0,2961.41,0,0,SYN.ETH-26FEB24,2963.659,35.44,0.014,0,0,0,0.0615,0.0043,,0.032748,ETH-26FEB24-2875-C,0.0313,2961.41,open,1.71E+12,0.12815,-3.84395,0.39933,0.00254,0.88862,0,0,,,,2875,26/2/2024 16:00,1,2961.23,call,0.007,92.686499,20.72861,48:54.3
