Date,Delta,Vega,Theta,Gamma
1/2/2024,0,0,0,0
2/2/2024,0,0,0,0
3/2/2024,0,0,0,0
4/2/2024,0,0,0,0
5/2/2024,0,0,0,0
6/2/2024,0,0,0,0
7/2/2024,0,0,0,0
8/2/2024,0,0,0,0
9/2/2024,0,0,0,0
10/2/2024,0,0,0,0
11/2/2024,0,0,0,0
12/2/2024,0,0,0,0
13/2/2024,0,0,0,0
14/2/2024,0,0,0,0
15/2/2024,0,0,0,0
16/2/2024,0,0,0,0
17/2/2024,0,0,0,0
18/2/2024,-0.60521,-12.15593,12.36139,-0.00274
19/2/2024,-0.54797,-12.25697,12.34202,-0.00279
20/2/2024,-0.38199,-12.43043,12.24373,-0.00294
21/2/2024,-0.55257,-11.77019,12.81863,-0.00281
22/2/2024,-0.43471,-11.31458,11.23933,-0.00302
2024-02-24,-0.37335000000000007,-11.5373,12.24826,-0.0030099999999999997
2024-02-24,-0.3451,-11.586409999999997,12.304939999999998,-0.00304
