Date,PnL
1/2/2024,0
2/2/2024,0
3/2/2024,0
4/2/2024,0
5/2/2024,0
6/2/2024,0
7/2/2024,0
8/2/2024,0
9/2/2024,0
10/2/2024,0
11/2/2024,0
12/2/2024,0
13/2/2024,0
14/2/2024,0
15/2/2024,0
16/2/2024,0
17/2/2024,0
18/2/2024,0
19/2/2024,-0.014368317
20/2/2024,0.001908739
21/2/2024,-0.0042616
22/2/2024,-0.006864948
23/2/2024,0.02984736
24/2/2024,-0.005834544
25/2/2024,-0.021910656
26/2/2024,0.00033058
27/2/2024,-0.02858303
28/2/2024,-0.038185365
29/2/2024,-0.054105788
1/3/2024,0.045093721
2/3/2024,0.00870943
3/3/2024,0.002512474
