Date,PnL
1/2/2024,0
2/2/2024,0
3/2/2024,0
4/2/2024,0
5/2/2024,0
6/2/2024,0
7/2/2024,0
8/2/2024,0
9/2/2024,0
10/2/2024,0
11/2/2024,0
12/2/2024,0
13/2/2024,0
14/2/2024,0
15/2/2024,0
16/2/2024,0
17/2/2024,0
18/2/2024,0
19/2/2024,-0.021869585
20/2/2024,0.002905234
21/2/2024,-0.006486453
22/2/2024,-0.010448932
23/2/2024,0.045429772
24/2/2024,-0.008880584
25/2/2024,-0.033349553
26/2/2024,0.000503166
27/2/2024,-0.043505373
27/2/2024,-0.011634525
28/2/2024,-0.058120799
29/2/2024,-0.082352798
1/3/2024,0.068635801
