instrument_name,tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,expiration_timestamp,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date,Date,Time
BTC-8FEB24-38000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291757,BTC,1.0,0.0001,reversed,0.0003,0.0003,38000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-38000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291758,BTC,1.0,0.0001,reversed,0.0003,0.0003,38000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-39000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291759,BTC,1.0,0.0001,reversed,0.0003,0.0003,39000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-39000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291760,BTC,1.0,0.0001,reversed,0.0003,0.0003,39000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-39500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291761,BTC,1.0,0.0001,reversed,0.0003,0.0003,39500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-39500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291762,BTC,1.0,0.0001,reversed,0.0003,0.0003,39500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-40000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291763,BTC,1.0,0.0001,reversed,0.0003,0.0003,40000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-40000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291764,BTC,1.0,0.0001,reversed,0.0003,0.0003,40000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-40500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291765,BTC,1.0,0.0001,reversed,0.0003,0.0003,40500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-40500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291766,BTC,1.0,0.0001,reversed,0.0003,0.0003,40500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-41000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291767,BTC,1.0,0.0001,reversed,0.0003,0.0003,41000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-41000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291768,BTC,1.0,0.0001,reversed,0.0003,0.0003,41000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-41500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291769,BTC,1.0,0.0001,reversed,0.0003,0.0003,41500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-41500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291770,BTC,1.0,0.0001,reversed,0.0003,0.0003,41500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291771,BTC,1.0,0.0001,reversed,0.0003,0.0003,42000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291772,BTC,1.0,0.0001,reversed,0.0003,0.0003,42000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707292807000,291900,BTC,1.0,0.0001,reversed,0.0003,0.0003,42250.0,True,option,False,btc_usd,2024-02-07 08:00:07,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707292807000,291901,BTC,1.0,0.0001,reversed,0.0003,0.0003,42250.0,True,option,False,btc_usd,2024-02-07 08:00:07,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291773,BTC,1.0,0.0001,reversed,0.0003,0.0003,42500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291774,BTC,1.0,0.0001,reversed,0.0003,0.0003,42500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42750-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707292807000,291902,BTC,1.0,0.0001,reversed,0.0003,0.0003,42750.0,True,option,False,btc_usd,2024-02-07 08:00:07,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-42750-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707292807000,291903,BTC,1.0,0.0001,reversed,0.0003,0.0003,42750.0,True,option,False,btc_usd,2024-02-07 08:00:07,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291775,BTC,1.0,0.0001,reversed,0.0003,0.0003,43000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291776,BTC,1.0,0.0001,reversed,0.0003,0.0003,43000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707292807000,291904,BTC,1.0,0.0001,reversed,0.0003,0.0003,43250.0,True,option,False,btc_usd,2024-02-07 08:00:07,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707292807000,291905,BTC,1.0,0.0001,reversed,0.0003,0.0003,43250.0,True,option,False,btc_usd,2024-02-07 08:00:07,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291777,BTC,1.0,0.0001,reversed,0.0003,0.0003,43500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291778,BTC,1.0,0.0001,reversed,0.0003,0.0003,43500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43750-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707293160000,292006,BTC,1.0,0.0001,reversed,0.0003,0.0003,43750.0,True,option,False,btc_usd,2024-02-07 08:06:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-43750-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707293160000,292007,BTC,1.0,0.0001,reversed,0.0003,0.0003,43750.0,True,option,False,btc_usd,2024-02-07 08:06:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-44000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291779,BTC,1.0,0.0001,reversed,0.0003,0.0003,44000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-44000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291780,BTC,1.0,0.0001,reversed,0.0003,0.0003,44000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-44500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291781,BTC,1.0,0.0001,reversed,0.0003,0.0003,44500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-44500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291782,BTC,1.0,0.0001,reversed,0.0003,0.0003,44500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-45000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291783,BTC,1.0,0.0001,reversed,0.0003,0.0003,45000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-45000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291784,BTC,1.0,0.0001,reversed,0.0003,0.0003,45000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-45500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291785,BTC,1.0,0.0001,reversed,0.0003,0.0003,45500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-45500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291786,BTC,1.0,0.0001,reversed,0.0003,0.0003,45500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-46000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291787,BTC,1.0,0.0001,reversed,0.0003,0.0003,46000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-46000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291788,BTC,1.0,0.0001,reversed,0.0003,0.0003,46000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-46500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291789,BTC,1.0,0.0001,reversed,0.0003,0.0003,46500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-46500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291790,BTC,1.0,0.0001,reversed,0.0003,0.0003,46500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-47000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291791,BTC,1.0,0.0001,reversed,0.0003,0.0003,47000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-47000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291792,BTC,1.0,0.0001,reversed,0.0003,0.0003,47000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-47500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291793,BTC,1.0,0.0001,reversed,0.0003,0.0003,47500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-47500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291794,BTC,1.0,0.0001,reversed,0.0003,0.0003,47500.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-48000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291795,BTC,1.0,0.0001,reversed,0.0003,0.0003,48000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-48000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291796,BTC,1.0,0.0001,reversed,0.0003,0.0003,48000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-49000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291797,BTC,1.0,0.0001,reversed,0.0003,0.0003,49000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-49000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291798,BTC,1.0,0.0001,reversed,0.0003,0.0003,49000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-50000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291799,BTC,1.0,0.0001,reversed,0.0003,0.0003,50000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-50000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291800,BTC,1.0,0.0001,reversed,0.0003,0.0003,50000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-51000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291801,BTC,1.0,0.0001,reversed,0.0003,0.0003,51000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-51000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291802,BTC,1.0,0.0001,reversed,0.0003,0.0003,51000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-52000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1707379200000,1707120060000,291803,BTC,1.0,0.0001,reversed,0.0003,0.0003,52000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-8FEB24-52000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1707379200000,1707120060000,291804,BTC,1.0,0.0001,reversed,0.0003,0.0003,52000.0,True,option,False,btc_usd,2024-02-05 08:01:00,2024-02-08 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-32000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705682760000,289402,BTC,1.0,0.0001,reversed,0.0003,0.0003,32000.0,True,option,False,btc_usd,2024-01-19 16:46:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-32000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705682760000,289403,BTC,1.0,0.0001,reversed,0.0003,0.0003,32000.0,True,option,False,btc_usd,2024-01-19 16:46:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-33000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1706014696000,289939,BTC,1.0,0.0001,reversed,0.0003,0.0003,33000.0,True,option,False,btc_usd,2024-01-23 12:58:16,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-33000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1706014696000,289940,BTC,1.0,0.0001,reversed,0.0003,0.0003,33000.0,True,option,False,btc_usd,2024-01-23 12:58:16,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-34000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705564860000,289074,BTC,1.0,0.0001,reversed,0.0003,0.0003,34000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-34000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705564860000,289075,BTC,1.0,0.0001,reversed,0.0003,0.0003,34000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-35000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1706014559000,289935,BTC,1.0,0.0001,reversed,0.0003,0.0003,35000.0,True,option,False,btc_usd,2024-01-23 12:55:59,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-35000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1706014559000,289936,BTC,1.0,0.0001,reversed,0.0003,0.0003,35000.0,True,option,False,btc_usd,2024-01-23 12:55:59,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-36000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705564860000,289076,BTC,1.0,0.0001,reversed,0.0003,0.0003,36000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-36000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705564860000,289077,BTC,1.0,0.0001,reversed,0.0003,0.0003,36000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-37000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705681980000,289398,BTC,1.0,0.0001,reversed,0.0003,0.0003,37000.0,True,option,False,btc_usd,2024-01-19 16:33:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-37000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705681980000,289399,BTC,1.0,0.0001,reversed,0.0003,0.0003,37000.0,True,option,False,btc_usd,2024-01-19 16:33:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-38000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705564860000,289078,BTC,1.0,0.0001,reversed,0.0003,0.0003,38000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-38000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705564860000,289079,BTC,1.0,0.0001,reversed,0.0003,0.0003,38000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-39000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705581120000,289195,BTC,1.0,0.0001,reversed,0.0003,0.0003,39000.0,True,option,False,btc_usd,2024-01-18 12:32:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-39000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705581120000,289196,BTC,1.0,0.0001,reversed,0.0003,0.0003,39000.0,True,option,False,btc_usd,2024-01-18 12:32:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-40000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705564860000,289080,BTC,1.0,0.0001,reversed,0.0003,0.0003,40000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-40000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705564860000,289081,BTC,1.0,0.0001,reversed,0.0003,0.0003,40000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-41000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,call,1707465600000,1705564860000,289082,BTC,1.0,0.0001,reversed,0.0003,0.0003,41000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
BTC-9FEB24-41000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,week,BTC,0.0001,25,0.0003,put,1707465600000,1705564860000,289083,BTC,1.0,0.0001,reversed,0.0003,0.0003,41000.0,True,option,False,btc_usd,2024-01-18 08:01:00,2024-02-09 08:00:00,2024-02-07,21:16:19.347497
