instrument_name,tick_size_steps,quote_currency,min_trade_amount,expiration_timestamp,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date
ETH-5FEB24-1950-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706861580000,291391,ETH,1.0,0.0001,reversed,0.0003,0.0003,1950.0,True,option,False,eth_usd,2024-02-02 08:13:00,2024-02-05 08:00:00
ETH-5FEB24-1950-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706861580000,291392,ETH,1.0,0.0001,reversed,0.0003,0.0003,1950.0,True,option,False,eth_usd,2024-02-02 08:13:00,2024-02-05 08:00:00
ETH-5FEB24-2000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291344,ETH,1.0,0.0001,reversed,0.0003,0.0003,2000.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291345,ETH,1.0,0.0001,reversed,0.0003,0.0003,2000.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2050-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291346,ETH,1.0,0.0001,reversed,0.0003,0.0003,2050.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2050-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291347,ETH,1.0,0.0001,reversed,0.0003,0.0003,2050.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2100-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291348,ETH,1.0,0.0001,reversed,0.0003,0.0003,2100.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2100-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291349,ETH,1.0,0.0001,reversed,0.0003,0.0003,2100.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2150-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291350,ETH,1.0,0.0001,reversed,0.0003,0.0003,2150.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2150-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291351,ETH,1.0,0.0001,reversed,0.0003,0.0003,2150.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2200-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291352,ETH,1.0,0.0001,reversed,0.0003,0.0003,2200.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2200-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291353,ETH,1.0,0.0001,reversed,0.0003,0.0003,2200.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2225-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291354,ETH,1.0,0.0001,reversed,0.0003,0.0003,2225.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2225-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291355,ETH,1.0,0.0001,reversed,0.0003,0.0003,2225.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291356,ETH,1.0,0.0001,reversed,0.0003,0.0003,2250.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291357,ETH,1.0,0.0001,reversed,0.0003,0.0003,2250.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2275-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291358,ETH,1.0,0.0001,reversed,0.0003,0.0003,2275.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2275-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291359,ETH,1.0,0.0001,reversed,0.0003,0.0003,2275.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2300-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291360,ETH,1.0,0.0001,reversed,0.0003,0.0003,2300.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2300-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291361,ETH,1.0,0.0001,reversed,0.0003,0.0003,2300.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2325-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291362,ETH,1.0,0.0001,reversed,0.0003,0.0003,2325.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2325-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291363,ETH,1.0,0.0001,reversed,0.0003,0.0003,2325.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2350-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291364,ETH,1.0,0.0001,reversed,0.0003,0.0003,2350.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2350-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291365,ETH,1.0,0.0001,reversed,0.0003,0.0003,2350.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2375-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291366,ETH,1.0,0.0001,reversed,0.0003,0.0003,2375.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2375-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291367,ETH,1.0,0.0001,reversed,0.0003,0.0003,2375.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2400-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291368,ETH,1.0,0.0001,reversed,0.0003,0.0003,2400.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2400-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291369,ETH,1.0,0.0001,reversed,0.0003,0.0003,2400.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2425-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291370,ETH,1.0,0.0001,reversed,0.0003,0.0003,2425.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2425-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291371,ETH,1.0,0.0001,reversed,0.0003,0.0003,2425.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2450-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291372,ETH,1.0,0.0001,reversed,0.0003,0.0003,2450.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2450-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,put,1706860860000,291373,ETH,1.0,0.0001,reversed,0.0003,0.0003,2450.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
ETH-5FEB24-2475-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,1707120000000,USD,day,ETH,0.0001,250,0.0003,call,1706860860000,291374,ETH,1.0,0.0001,reversed,0.0003,0.0003,2475.0,True,option,False,eth_usd,2024-02-02 08:01:00,2024-02-05 08:00:00
